sheet,time_h,source_row,rate_747_cps,rate_747_err,rate_633_cps,rate_633_err,ln_747_corrected,ln_633_corrected,counts_747_corrected,counts_633_corrected
修正后伽马谱 (3),786.7,32,9.2388,,8.5264,,4.04139140758231,4.01884058452383,56.9624337047357,55.6575834526716
修正后伽马谱 (3),811.4,33,7.9287,,7.3795,,3.88846848827425,3.87437923760314,48.8849253273952,48.1709909327489
修正后伽马谱 (3),834.5,34,7.1049,,6.5777,,3.7787640873471,3.75935849212296,43.805731829759,42.9370996759052
修正后伽马谱 (3),858.7,35,6.0381,,5.396,,3.61606879341537,3.56133129030896,37.2283057272119,35.2233440034031
修正后伽马谱 (3),884.6,36,5.0718,,4.7102,,3.44167518467324,3.42540372193527,31.2705190353378,30.7466632551574
修正后伽马谱 (3),910.9,37,4.1858,,3.9305,,3.24967724506618,3.24443999621512,25.8078273153746,25.6570336555552
修正后伽马谱 (3),931.1,38,3.7798,,3.3546,,3.14765049867124,3.08600589024197,23.3046074075811,21.8977445874381
修正后伽马谱 (3),955.2,39,3.1689,,2.8404,,2.97136392500753,2.91961823928925,19.5380629699676,18.5412131777736
修正后伽马谱 (3),979.7,40,2.78,,2.434,,2.84043032819499,2.76520934652879,17.1402742454827,15.8883653269613
修正后伽马谱 (3),1003.7,41,2.2864,,2.1125,,2.64495792868591,2.62354543221264,14.0969507319682,13.7897172363212
修正后伽马谱 (3),1028.3,42,2.0519,,1.8353,,2.53674559367001,2.48288130784574,12.6511254403978,11.9802452278439
修正后伽马谱 (3),1125.7,46,6.7855,,6.4864,,1.91478798253929,1.86970767727554,,
修正后伽马谱 (3),1147.7,47,5.809,,5.4068,,1.7594084390104,1.68765742062754,,
修正后伽马谱 (3),1173.5,48,4.7562,,4.5728,,1.55944903008903,1.52012570875341,,
修正后伽马谱 (3),1195.8,49,3.8425,,4.1815,,1.34612319643061,1.43067003383944,,
修正后伽马谱 (3),1220.8,50,3.5503,,3.5066,,1.26703210695906,1.25464690705389,,
修正后伽马谱 (3),1245.0,51,3.0881,,2.7966,,1.12755601505789,1.02840439362461,,
修正后伽马谱 (3),1268.9,52,2.5371,,2.1993,,0.931021696474149,0.788139127915514,,
修正后伽马谱 (3),1293.5,53,2.1467,,1.9775,,0.763931779277906,0.681833420659672,,
修正后伽马谱 (3),1316.7,54,1.9063,,1.8952,,0.645164190537794,0.639324373862439,,
修正后伽马谱 (3),1341.8,55,1.4896,,1.6075,,0.398507627540666,0.474680177129637,,
修正后伽马谱 (3),1365.8,56,1.1718,,1.3135,,0.158541028128551,0.272695330143457,,
修正后伽马谱 (3),1390.8,57,0.9652,,1.1868,,-0.0354199452312604,0.17126060943453,,
修正后伽马谱 (3),1420.4,58,0.801,,0.9711,,-0.221894331913778,-0.0293258293818287,,
修正后伽马谱 (3),1432.6,59,0.7581,,0.9213,,-0.276939975919879,-0.0819695628672507,,
修正后伽马谱 (3),1468.8,60,0.5445,,0.7534,,-0.607887336609122,-0.283158983724196,,
修正后伽马谱 (3),1487.6,61,0.4343,,0.562,,-0.834019739441361,-0.576253429088446,,
修正后伽马谱 (3),1517.3,62,0.3283,,0.5404,,-1.11382745447459,-0.615445672896093,,
修正后伽马谱 (3),1528.4,63,0.3043,,0.3638,,-1.18974122207921,-1.01115101289812,,
修正后伽马谱 (4),56.0,2,13.911,,4.2436,,8.88157207918978,8.72048521929395,7206.85427314027,6137.13004690903
修正后伽马谱 (4),91.7,3,10.8365,,3.3091,,8.63181225075867,8.47174950278427,5614.05192515883,4785.64827934458
修正后伽马谱 (4),115.0,4,9.7307,,2.9784,,8.52417802116857,8.36645949726734,5041.17151000259,4307.38715517812
修正后伽马谱 (4),138.9,5,8.2458,,2.405,,8.35859616491907,8.1526231572487,4271.89123466753,3478.13124771803
修正后伽马谱 (4),162.7,6,6.8938,,2.1032,,8.17951464205223,8.01853324812451,3571.46229517464,3041.66554686094
修正后伽马谱 (4),186.9,7,6.1458,,1.92,,8.06466110680076,7.92739843973066,3183.94687598774,2776.72016449838
修正后伽马谱 (4),211.6,8,5.1718,,1.7019,,7.89211297551402,7.80681852770947,2679.34792105721,2461.3021083124
修正后伽马谱 (4),236.1,9,4.2808,,1.381,,7.70303209312731,7.59788112811813,2217.74867173164,1997.21382665222
修正后伽马谱 (4),260.7,10,3.7023,,1.1169,,7.55784643325746,7.38563024425562,1918.04590435247,1615.27018319179
修正后伽马谱 (4),284.9,11,3.2332,,0.9738,,7.4223645439899,7.24852391845744,1675.01985737309,1408.31775843152
修正后伽马谱 (4),308.7,12,2.7115,,0.8135,,7.24639417241133,7.06866390136793,1404.7433945525,1176.49054886429
修正后伽马谱 (4),331.3,13,2.4188,,0.747,,7.13216373452927,6.98338315984165,1253.10467370223,1080.31768900015
