file,root_file,spec_id,detector,acquired_at,live_time_s,real_time_s,dead_time_percent,n_channels,total_counts
11.25_1_with 12.5.Spe,11.25_1_with 12.5.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-11-25 09:20:43,952.0,964.0,1.2448,16384,217530
11.25_2_with 0.Spe,11.25_2_with 0.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-11-25 10:40:33,329.0,341.0,3.5191,16384,188407
11.25_2_with 12.5.Spe,11.25_2_with 12.5.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-11-25 09:38:01,904.0,915.0,1.2022,16384,183701
11.25_3_with 0.Spe,11.25_3_with 0.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-11-25 10:34:10,305.0,314.0,2.8662,16384,145374
11.25_3_with 12.5.Spe,11.25_3_with 12.5.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-11-25 09:54:19,882.0,891.0,1.0101,16384,150858
11.25_4_with 0.Spe,11.25_4_with 0.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-11-25 10:27:09,331.0,341.0,2.9326,16384,154009
11.25_4_with 12.5.Spe,11.25_4_with 12.5.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-11-25 10:10:13,925.0,934.0,0.9636,16384,154410
11.26_1_with 0.Spe,11.26_1_with 0.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-11-26 09:20:54,441.0,457.0,3.5011,16384,269060
11.26_1_with 12.5.Spe,11.26_1_with 12.5.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-11-26 11:04:12,1180.0,1195.0,1.2552,16384,255645
11.26_2_with 0.Spe,11.26_2_with 0.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-11-26 09:29:44,431.0,445.0,3.1461,16384,231633
11.26_2_with 12.5.Spe,11.26_2_with 12.5.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-11-26 10:43:12,1188.0,1202.0,1.1647,16384,226784
11.26_3_with 0.Spe,11.26_3_with 0.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-11-26 09:38:25,420.0,431.0,2.5522,16384,187447
11.26_3_with 12.5.Spe,11.26_3_with 12.5.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-11-26 10:22:29,1166.0,1177.0,0.9346,16384,185839
11.26_4_with 0.Spe,11.26_4_with 0.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-11-26 09:53:19,451.0,463.0,2.5918,16384,195803
11.26_4_with 12.5.Spe,11.26_4_with 12.5.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-11-26 10:02:17,1124.0,1134.0,0.8818,16384,175158
