file,acquired_at,live_time_s,633keV_net,633keV_err,633keV_gross,633keV_bg,633keV_rate,633keV_rate_err,747keV_net,747keV_err,747keV_gross,747keV_bg,747keV_rate,747keV_rate_err
10.26_2_with Pb.Spe,2025-10-26 09:47:45,1444.0,1895.50,77.01,3913.0,2017.5,1.312673,0.053331,6191.00,90.70,7209.0,1018.0,4.287396,0.062814
10.26_3_with Pb.Spe,2025-10-26 10:14:59,1434.0,1936.25,76.52,3896.0,1959.8,1.350244,0.053363,6087.50,89.62,7060.0,972.5,4.245119,0.062499
10.26_4_with Pb.Spe,2025-10-26 10:42:12,1471.0,2082.75,77.07,4011.0,1928.2,1.415874,0.052391,6283.50,90.78,7262.0,978.5,4.271584,0.061711
10.27_1_with Pb.Spe,2025-10-27 09:23:57,1728.0,1925.50,76.78,3910.0,1984.5,1.114294,0.044430,5906.00,89.31,6941.0,1035.0,3.417824,0.051683
10.27_2_with Pb.Spe,2025-10-27 10:04:18,1762.0,2053.00,79.34,4174.0,2121.0,1.165153,0.045029,6387.50,92.40,7463.0,1075.5,3.625142,0.052443
10.27_3_with Pb.Spe,2025-10-27 10:37:47,1732.0,1946.50,77.61,3985.0,2038.5,1.123845,0.044810,6311.50,91.40,7333.0,1021.5,3.644053,0.052773
10.27_4_with Pb.Spe,2025-10-27 11:10:34,1822.0,2089.00,79.72,4222.0,2133.0,1.146542,0.043753,6730.50,94.22,7804.0,1073.5,3.694018,0.051713
10.28_1_with Pb.Spe,2025-10-28 09:24:33,2050.0,1890.25,77.63,3958.0,2067.8,0.922073,0.037866,5955.50,89.48,6981.0,1025.5,2.905122,0.043648
10.28_2_with Pb.Spe,2025-10-28 10:02:35,2054.0,1918.75,78.82,4066.0,2147.2,0.934153,0.038376,6557.50,93.43,7643.0,1085.5,3.192551,0.045485
10.28_3_with Pb.Spe,2025-10-28 10:39:57,2234.0,2240.50,82.45,4519.0,2278.5,1.002910,0.036906,6760.50,95.33,7924.0,1163.5,3.026186,0.042672
10.28_4_with Pb.Spe,2025-10-28 11:20:34,2063.0,2001.00,78.59,4089.0,2088.0,0.969947,0.038097,6657.00,93.39,7689.0,1032.0,3.226854,0.045267
10.29_1_with Cu.Spe,2025-10-29 12:21:49,291.0,4040.50,79.22,5158.0,1117.5,13.884880,0.272227,5507.00,79.42,5907.0,400.0,18.924399,0.272909
10.29_1_with Pb.Spe,2025-10-29 09:33:12,1726.0,1378.00,66.66,2911.0,1533.0,0.798378,0.038623,4248.50,76.01,5013.0,764.5,2.461472,0.044038
10.29_2_with Cu.Spe,2025-10-29 12:13:24,298.0,4295.50,82.79,5575.0,1279.5,14.414430,0.277825,5976.00,82.64,6403.0,427.0,20.053691,0.277328
10.29_2_with Pb.Spe,2025-10-29 10:05:15,1763.0,1505.75,68.22,3080.0,1574.2,0.854084,0.038697,4752.00,79.44,5531.0,779.0,2.695406,0.045057
10.29_3_with Cu.Spe,2025-10-29 12:05:11,280.0,4173.50,80.02,5288.0,1114.5,14.905357,0.285770,5851.00,81.53,6249.0,398.0,20.896429,0.291175
10.29_3_with Pb.Spe,2025-10-29 10:37:38,1792.0,1429.25,68.95,3092.0,1662.8,0.797573,0.038479,4786.00,79.66,5566.0,780.0,2.670759,0.044454
10.29_4_with 9.5.Spe,2025-10-29 11:47:59,23.0,5106.00,75.93,5436.0,330.0,222.000000,3.301486,5838.00,77.86,5950.0,112.0,253.826087,3.385167
10.29_4_with Cu.Spe,2025-10-29 11:57:06,293.0,4319.00,81.57,5486.0,1167.0,14.740614,0.278382,6008.00,82.78,6430.0,422.0,20.505119,0.282515
10.29_4_with Pb.Spe,2025-10-29 11:10:09,1955.0,1535.00,70.69,3266.0,1731.0,0.785166,0.036158,5282.00,83.59,6135.0,853.0,2.701790,0.042759
10.30_1_with Cu.Spe,2025-10-30 09:20:47,333.0,3859.25,78.44,5006.0,1146.8,11.589339,0.235554,5588.00,80.31,6019.0,431.0,16.780781,0.241177
10.30_1_with Pb.Spe,2025-10-30 11:06:08,1587.0,1010.00,59.26,2261.0,1251.0,0.636421,0.037342,3314.50,67.55,3939.0,624.5,2.088532,0.042567
10.30_2_with Cu.Spe,2025-10-30 09:12:12,334.0,4151.25,80.32,5301.0,1149.8,12.428892,0.240469,5982.50,82.52,6396.0,413.5,17.911677,0.247065
10.30_2_with Pb.Spe,2025-10-30 10:47:49,2358.0,1810.25,73.44,3602.0,1791.8,0.767706,0.031146,5328.00,84.51,6235.0,907.0,2.259542,0.035840
10.30_3_with Cu.Spe,2025-10-30 09:29:12,330.0,4307.00,81.49,5474.0,1167.0,13.051515,0.246946,5836.00,81.69,6255.0,419.0,17.684848,0.247559
10.30_3_with Pb.Spe,2025-10-30 10:20:24,1490.0,1095.00,58.20,2241.0,1146.0,0.734899,0.039059,3396.50,67.46,3974.0,577.5,2.279530,0.045278
10.30_4_with Cu.Spe,2025-10-30 09:37:23,331.0,4328.00,81.47,5483.0,1155.0,13.075529,0.246145,6078.00,82.92,6477.0,399.0,18.362538,0.250519
10.30_4_with Pb.Spe,2025-10-30 09:46:50,1792.0,1344.00,63.73,2703.0,1359.0,0.750000,0.035566,4331.00,75.20,4993.0,662.0,2.416853,0.041964
10.31_1_with Cu.Spe,2025-10-31 11:41:59,378.0,3675.00,77.01,4803.0,1128.0,9.722222,0.203738,5318.50,78.41,5733.0,414.5,14.070106,0.207423
10.31_1_with Pb.Spe,2025-10-31 09:03:16,1821.0,1006.25,59.24,2258.0,1251.8,0.552581,0.032533,3304.50,67.38,3922.0,617.5,1.814662,0.036999
10.31_2_with Cu.Spe,2025-10-31 11:32:21,367.0,3773.00,77.65,4901.0,1128.0,10.280654,0.211571,5402.00,79.11,5830.0,428.0,14.719346,0.215552
10.31_2_with Pb.Spe,2025-10-31 09:36:21,1787.0,1145.75,59.99,2372.0,1226.2,0.641158,0.033568,3575.50,69.42,4197.0,621.5,2.000839,0.038845
10.31_3_with Cu.Spe,2025-10-31 11:23:38,349.0,3694.25,76.09,4742.0,1047.8,10.585244,0.218024,5319.50,78.37,5731.0,411.5,15.242120,0.224568
10.31_3_with Pb.Spe,2025-10-31 10:08:33,1789.0,1090.50,58.85,2277.0,1186.5,0.609558,0.032896,3561.50,68.91,4155.0,593.5,1.990777,0.038518
10.31_4_with Cu.Spe,2025-10-31 11:14:57,355.0,3868.50,77.55,4941.0,1072.5,10.897183,0.218442,5555.00,79.45,5934.0,379.0,15.647887,0.223815
