Filename	SPE_Filename	MeasurementTime	LiveTime(s)	DeadTime(%)	747keV_NetCounts	747keV_Error	633keV_NetCounts	633keV_Error	634keV_NetCounts	634keV_Error	747keV_CountRate	633keV_CountRate	634keV_CountRate
10.30_4_with Pb.root	10.30_4_with Pb.Spe	10/30/2025 09:46:50	1792	1.1583	4271.88	106.142	1349	83.5284	1343	83.4925	2.38386	0.75279	0.749442
10.31_1_with Cu.root	10.31_1_with Cu.Spe	10/31/2025 11:41:59	378	5.02513	5360.66	97.4441	3588.4	91.8891	3581.4	91.851	14.1816	9.49312	9.4746
10.31_1_with Pb.root	10.31_1_with Pb.Spe	10/31/2025 09:03:16	1821	1.08637	3394.03	97.8467	1033	78.7337	1044	78.8036	1.86383	0.567271	0.573311
10.31_2_with Cu.root	10.31_2_with Cu.Spe	10/31/2025 11:32:21	367	5.16796	5494.59	97.9357	3693	92.5473	3640	92.2605	14.9716	10.0627	9.91826
10.31_2_with Pb.root	10.31_2_with Pb.Spe	10/31/2025 09:36:21	1787	1.10681	3752.25	98.8016	1158.3	79.1814	1150.3	79.1309	2.09975	0.648181	0.643705
10.31_3_with Cu.root	10.31_3_with Cu.Spe	10/31/2025 11:23:38	349	4.90463	5615.62	94.9967	3605.1	89.9717	3595.1	89.9161	16.0906	10.3298	10.3011
10.31_3_with Pb.root	10.31_3_with Pb.Spe	10/31/2025 10:08:33	1789	0.996126	3453.22	98.7258	1134.7	77.313	1133.7	77.3065	1.93025	0.634265	0.633706
10.31_4_with Cu.root	10.31_4_with Cu.Spe	10/31/2025 11:14:57	355	5.08021	5749.34	96.3881	3990	90.9615	3971	90.857	16.1953	11.2394	11.1859
10.31_4_with Pb.root	10.31_4_with Pb.Spe	10/31/2025 10:40:35	1845	1.01931	3672.12	99.0347	1186.8	78.9633	1135.8	78.6397	1.99031	0.643252	0.61561
11.01_1_with Cu.root	11.01_1_with Cu.Spe	11/01/2025 09:05:33	476	4.41767	5628	102.352	4154.8	95.7142	4130.8	95.5887	11.8235	8.72857	8.67815
11.01_2_with Cu.root	11.01_2_with Cu.Spe	11/01/2025 09:16:47	450	4.4586	6185.5	101.619	4282.8	97.032	4244.8	96.8359	13.7456	9.51733	9.43289
11.01_3_with Cu.root	11.01_3_with Cu.Spe	11/01/2025 09:26:50	482	4.55446	6369	103.986	4569	99.5138	4525	99.2925	13.2137	9.47925	9.38797
11.01_4_with Cu.root	11.01_4_with Cu.Spe	11/01/2025 09:37:28	541	4.41696	7139.62	110.292	5171.3	104.263	5169.3	104.253	13.1971	9.55878	9.55508
11.02_1_with Cu.root	11.02_1_with Cu.Spe	11/02/2025 09:07:20	578	3.82696	5959.69	104.987	4142.9	99.9255	4105.9	99.7402	10.3109	7.16765	7.10363
11.02_2_with Cu.root	11.02_2_with Cu.Spe	11/02/2025 09:19:37	497	4.05405	5951.72	99.6106	3955.7	93.7993	3908.7	93.5484	11.9753	7.95915	7.86459
11.02_4_with Cu.root	11.02_4_with Cu.Spe	11/02/2025 09:42:16	274	3.85965	3110.31	72.9362	2175.7	68.9224	2140.7	68.668	11.3515	7.94051	7.81277
11.03_1_with Cu.root	11.03_1_with Cu.Spe	11/03/2025 09:03:41	648	3.42772	5837.16	103.338	4051.3	97.4613	4006.3	97.2301	9.00796	6.25201	6.18256
11.03_2_with Cu.root	11.03_2_with Cu.Spe	11/03/2025 09:17:13	576	3.51759	5579.84	100.151	4125.2	94.3652	4084.2	94.1478	9.68723	7.16181	7.09062
11.03_3_with Cu.root	11.03_3_with Cu.Spe	11/03/2025 09:29:26	566	3.41297	5477.19	98.1367	3871.6	92.6952	3834.6	92.4954	9.67701	6.84028	6.77491
11.03_4_with Cu.root	11.03_4_with Cu.Spe	11/03/2025 09:41:06	635	3.34855	6132.5	104.305	4344.5	97.6294	4286.5	97.3319	9.65748	6.84173	6.75039
11.04_1_with Cu.root	11.04_1_with Cu.Spe	11/04/2025 09:02:46	766	3.03797	5866.69	104.543	4144.5	99.3856	4070.5	99.0126	7.65886	5.41057	5.31397
11.04_2_with Cu.root	11.04_2_with Cu.Spe	11/04/2025 09:17:59	848	3.08571	7042.22	112.826	4935.3	107.511	4840.3	107.069	8.3045	5.81993	5.7079
11.04_3_with Cu.root	11.04_3_with Cu.Spe	11/04/2025 09:35:08	695	2.93296	5760.31	100.954	4077.9	95.2896	4014.9	94.9584	8.28822	5.86748	5.77683
11.04_3_with Pb.root	11.04_3_with Pb.Spe	11/04/2025 11:10:23	4038	0.615309	4305.62	111.177	1264	89.1179	1275	89.1796	1.06628	0.313026	0.31575
11.04_4_with Cu.root	11.04_4_with Cu.Spe	11/04/2025 09:49:52	734	2.91005	6347.19	103.454	4320.8	97.6586	4292.8	97.5151	8.64739	5.88665	5.8485
11.04_4_with Pb.root	11.04_4_with Pb.Spe	11/04/2025 10:06:40	3677	0.594755	4068.72	105.211	1373	83.1685	1370	83.1505	1.10653	0.373402	0.372586
11.05_1_with Cu.root	11.05_1_with Cu.Spe	11/05/2025 09:38:18	878	2.55272	5782.53	104.17	4070.3	99.2658	4065.3	99.2406	6.58603	4.63588	4.63018
11.05_2_with Cu.root	11.05_2_with Cu.Spe	11/05/2025 09:55:36	857	2.72418	6266.5	104.945	4177.3	100.641	4112.3	100.318	7.31214	4.87433	4.79848
11.05_3_with Cu.root	11.05_3_with Cu.Spe	11/05/2025 10:12:37	779	2.625	5746.91	99.1519	3695.9	93.7129	3663.9	93.542	7.37729	4.74442	4.70334
11.05_3_with Pb.root	11.05_3_with Pb.Spe	11/05/2025 11:37:35	3073	0.517967	2851.81	90.5107	945.3	73.0938	936.3	73.0322	0.928022	0.307615	0.304686
11.05_4_with Cu.root	11.05_4_with Cu.Spe	11/05/2025 10:28:13	784	2.6087	5857.91	99.71	4005	94.6626	3950	94.3716	7.47182	5.10842	5.03827
11.05_4_with Pb.root	11.05_4_with Pb.Spe	11/05/2025 10:44:56	2998	0.530856	2929.59	89.646	885.3	72.102	860.3	71.9284	0.977183	0.295297	0.286958
11.06_1_with Cu.root	11.06_1_with Cu.Spe	11/06/2025 09:02:49	1023	2.29226	5743.12	106.174	4315.8	98.9151	4243.8	98.5505	5.614	4.21877	4.14839
11.06_2_with Cu.root	11.06_2_with Cu.Spe	11/06/2025 09:23:33	1138	2.3176	6797.78	113.253	4728.4	106.722	4683.4	106.511	5.97345	4.15501	4.11547
11.06_3_with Cu.root	11.06_3_with Cu.Spe	11/06/2025 09:45:07	897	2.28758	5759.22	99.1503	4007.7	95.1856	3972.7	95.0016	6.42053	4.46789	4.42887
11.06_3_with Pb.root	11.06_3_with Pb.Spe	11/06/2025 11:27:25	4188	0.475285	3112.19	97.4054	1032.5	79.9218	1029.5	79.9031	0.74312	0.246538	0.245821
11.06_4_with Cu.root	11.06_4_with Cu.Spe	11/06/2025 10:02:38	871	2.13483	5522.44	98.11	3515.6	93.0398	3456.6	92.7222	6.34034	4.03628	3.96854
11.06_4_with Pb.root	11.06_4_with Pb.Spe	11/06/2025 10:20:51	3628	0.466392	2745.34	91.1409	948.8	73.5473	944.8	73.5201	0.75671	0.261521	0.260419
11.07_1_with Cu.root	11.07_1_with Cu.Spe	11/07/2025 09:02:50	1285	2.05793	6085.72	111.715	4286.8	105.353	4229.8	105.082	4.73597	3.33603	3.29167
11.07_2_with Cu.root	11.07_2_with Cu.Spe	11/07/2025 09:27:33	1089	2.06835	5673.78	102.422	3884.1	98.1524	3833.1	97.8923	5.21008	3.56667	3.51983
11.07_3_with Cu.root	11.07_3_with Cu.Spe	11/07/2025 09:48:12	1133	1.98962	5977.75	103.316	4173.5	98.0434	4110.5	97.7215	5.27604	3.68358	3.62798
11.07_4_with Cu.root	11.07_4_with Cu.Spe	11/07/2025 10:09:31	1127	1.91471	5728.97	103.243	4063.4	97.7169	4045.4	97.6248	5.08338	3.6055	3.58953
11.08_1_with Cu.root	11.08_1_with Cu.Spe	11/08/2025 09:02:59	1353	1.81422	5400.75	106.345	3784.3	100.148	3711.3	99.7833	3.99169	2.79697	2.74302
11.08_2_with Cu.root	11.08_2_with Cu.Spe	11/08/2025 09:28:28	1332	1.8423	5994.94	106.823	4257.1	101.286	4203.1	101.019	4.5007	3.19602	3.15548
11.08_3_with Cu.root	11.08_3_with Cu.Spe	11/08/2025 09:53:27	1364	1.72911	6124.25	106.423	4187.3	100.482	4106.3	100.078	4.48992	3.06987	3.01048
11.08_4_with Cu.root	11.08_4_with Cu.Spe	11/08/2025 10:18:45	1608	1.71149	7325.34	115.285	5177.2	108.843	5140.2	108.673	4.55556	3.21965	3.19664
11.09_1_with Cu.root	11.09_1_with Cu.Spe	11/09/2025 09:47:47	1624	1.63537	5642.59	108.441	4158.4	102.799	4127.4	102.648	3.4745	2.56059	2.5415
11.09_2_with Cu.root	11.09_2_with Cu.Spe	11/09/2025 10:22:36	1875	1.62644	7083.06	116.554	4901.6	111.141	4822.6	110.785	3.77763	2.61419	2.57205
11.09_3_with Cu.root	11.09_3_with Cu.Spe	11/09/2025 10:56:29	1512	1.49837	5541.34	103.434	4108.7	98.0984	4045.7	97.7768	3.66491	2.71739	2.67573
11.09_4_with Cu.root	11.09_4_with Cu.Spe	11/09/2025 11:24:11	1519	1.49157	5738.5	104.353	4187.6	97.6647	4099.6	97.2132	3.77781	2.75681	2.69888
11.10_1_with 12.5.root	11.10_1_with 12.5.Spe	11/10/2025 13:11:16	246	4.28016	7546.56	98.5162	6591.8	96.8101	6581.8	96.7585	30.6771	26.7959	26.7553
11.10_1_with 12.5_1_L.root	11.10_1_with 12.5_1_L.Spe	11/10/2025 17:28:28	495	2.36686	7162.47	95.7263	6336.4	94.4648	6302.4	94.2847	14.4696	12.8008	12.7321
11.10_1_with 12.5_1_R.root	11.10_1_with 12.5_1_R.Spe	11/10/2025 17:18:51	513	2.28571	7590.84	99.0917	6770.2	98.7107	6766.2	98.6904	14.797	13.1973	13.1895
11.10_1_with 12.5_4_L.root	11.10_1_with 12.5_4_L.Spe	11/10/2025 16:46:04	646	2.26929	9748.81	110.73	8519	108.217	8477	108.023	15.091	13.1873	13.1223
11.10_1_with 12.5_4_R.root	11.10_1_with 12.5_4_R.Spe	11/10/2025 16:58:08	510	2.48566	7641.25	99.0593	7086.2	99.0343	7092.2	99.0646	14.9828	13.8945	13.9063
11.10_1_with Cu.root	11.10_1_with Cu.Spe	11/10/2025 09:03:11	1780	1.43965	5221.94	106.986	3672.6	101.2	3613.6	100.908	2.93367	2.06326	2.03011
11.10_2_with 12.5.root	11.10_2_with 12.5.Spe	11/10/2025 13:18:36	183	4.6875	6099.84	86.7188	5374.5	85.1088	5347.5	84.95	33.3325	29.3689	29.2213
11.10_2_with 12.5_2_L.root	11.10_2_with 12.5_2_L.Spe	11/10/2025 16:30:12	463	2.52632	7717.44	96.9359	6728.6	95.1599	6690.6	94.96	16.6683	14.5326	14.4505
11.10_2_with 12.5_2_R.root	11.10_2_with 12.5_2_R.Spe	11/10/2025 16:38:51	303	2.57235	5194.66	79.3684	4675.9	80.0131	4651.9	79.863	17.1441	15.432	15.3528
